year,auto_total,auto_oem,auto_repl,auto_ice,auto_bev,grid_generation_oem,grid_gen_wind,grid_gen_solar,grid_gen_fossil,construction_total,construction_oem,construction_repl,grid_td_total,grid_td_oem,grid_td_repl,industrial_total,industrial_oem,industrial_repl,electronics_total,electronics_oem,electronics_repl,other_uses,total_demand,share_transport_calc,share_ev_calc,automotive_confidence,grid_generation_confidence,construction_confidence,grid_td_confidence,industrial_confidence,electronics_confidence,other_uses_confidence,total_oem,total_replacement
2031,3322000.0,3322000.0,0,1128725.0000000002,2193274.9999999995,2261200.0,840000.0,1400000.0,21200.0,11670858.949705783,7586058.317308759,4084800.6323970244,5537495.296251063,3876246.7073757444,1661248.588875319,4133429.211354132,2480057.526812479,1653371.6845416527,3933193.8862366304,3933193.8862366304,0,3141822.6564523885,34000000.0,0.09770588235294117,0.06450808823529411,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,23458756.437733613,7399420.905813997
2032,3480800.0,3480800.0,0,1083760.0,2397040.0,2367066.6666666665,880000.0,1466666.6666666665,20400.0,11785863.572732165,7660811.322275908,4125052.250456258,5474458.003435598,3832120.602404918,1642337.4010306792,4174160.015342642,2504496.0092055853,1669664.006137057,3971951.5716928258,3971951.5716928258,0,2995700.1701301034,34250000.0,0.10162919708029197,0.0699865693430657,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,23817246.172245905,7437053.657623994
2033,3641400.0,3641400.0,0,1038105.0,2603295.0,2472933.333333333,919999.9999999999,1533333.333333333,19600.0,11872206.72638245,7716934.372148593,4155272.3542338577,5397815.4072496705,3778470.7850747686,1619344.6221749014,4204739.882260451,2522843.9293562705,1681895.9529041804,4001050.060974478,4001050.060974478,0,2909854.58979962,34500000.0,0.10554782608695652,0.07545782608695652,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,24133632.480887443,7456512.92931294
2034,3803800.0000000005,3803800.0000000005,0,991760.0000000001,2812040.0000000005,2578800.0,960000.0,1600000.0,18800.0,11912858.593802067,7743358.085971343,4169500.507830723,5300835.565922471,3710584.8961457293,1590250.6697767412,4219137.418638232,2531482.451182939,1687654.9674552926,4014750.138842608,4014750.138842608,0,2919818.282794624,34750000.0,0.10946187050359714,0.08092201438848923,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,24382775.57214262,7447406.145062758
2035,3967999.9999999995,3967999.9999999995,0,944725.0,3023274.9999999995,2684666.6666666665,1000000.0,1666666.6666666665,18000.0,11952385.913326977,7769050.843662535,4183335.069664442,5204233.158018844,3642963.2106131907,1561269.947405653,4233136.677636637,2539882.0065819826,1693254.671054655,4028071.2330452437,4028071.2330452437,0,2929506.3513056315,35000000.0,0.11337142857142855,0.0863792857142857,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,24632633.96056962,7437859.68812475
2036,4134000.0,4134000.0,0,897000.0,3237000.0,2790533.333333333,1039999.9999999999,1733333.333333333,17200.0,11990783.043979494,7794008.978586672,4196774.065392823,5108019.106020098,3575613.3742140676,1532405.7318060298,4246735.661409405,2548041.396845643,1698694.2645637621,4041011.442517599,4041011.442517599,0,2938917.4127400722,35250000.0,0.11727659574468086,0.09182978723404256,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,24883208.52549731,7427874.061762614
2037,4301800.0,4301800.0,0,848584.9999999999,3453215.0,2896400.0,1080000.0,1800000.0,16400.0,12028044.415265271,7818228.8699224265,4209815.545342845,5012204.1959324395,3508542.9371527075,1503661.2587797318,4259932.397073118,2555959.4382438706,1703972.9588292472,4053568.8899484677,4053568.8899484677,0,2948050.1017807038,35500000.0,0.1211774647887324,0.09727366197183099,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,25134500.135267474,7417449.762951824
2038,4471400.0,4471400.0,0,799479.9999999999,3671920.0,3002266.6666666665,1120000.0,1866666.6666666665,15600.0,12064164.526075881,7841706.941949322,4222457.584126558,4916799.079411896,3441759.355588327,1475039.7238235688,4272724.936318542,2563634.9617911247,1709089.9745274168,4065741.7214103765,4065741.7214103765,0,2956903.0701166373,35750000.0,0.12507412587412586,0.10271104895104895,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,25386509.647405814,7406587.282477544
2039,4642800.0,4642800.0,0,749685.0000000001,3893114.9999999995,3108133.333333333,1160000.0,1933333.333333333,14800.0,12099137.943611832,7864439.663347691,4234698.280264141,4821814.27584964,3375269.993094748,1446544.2827548925,4285111.355029191,2571066.8130175145,1714044.5420116766,4077528.105996635,4077528.105996635,0,2965474.9861793704,36000000.0,0.12896666666666667,0.10814208333333332,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,25639237.90878992,7395287.10503071
2040,4816000.0,4816000.0,0,699199.9999999999,4116800.0,3213999.9999999995,1199999.9999999998,1999999.9999999998,14000.0,12132959.302325582,7886423.546511629,4246535.7558139535,4727260.174418606,3309082.1220930237,1418178.0523255821,4297089.752906978,2578253.8517441866,1718835.901162791,4088926.235465117,4088926.235465117,0,2973764.5348837213,36250000.0,0.1328551724137931,0.11356689655172414,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,25892685.755813956,7383549.709302327
2041,4991000.0,4991000.0,0,648025.0,4342975.0,3319866.6666666665,1240000.0,2066666.6666666665,13200.0,12165623.30288412,7907655.146874678,4257968.156009442,4633147.036082215,3243202.9252575506,1389944.1108246644,4308658.253104794,2585194.951862876,1723463.3012419175,4099934.3238886436,4099934.3238886436,0,2981770.417373559,36500000.0,0.13673972602739726,0.11898561643835616,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,26146854.014550414,7371375.568076024
2042,5167799.999999999,5167799.999999999,0,596160.0000000001,4571639.999999999,3425733.333333333,1280000.0,2133333.333333333,12400.0,12197124.711150704,7928131.062247957,4268993.648902746,4539484.995566042,3177639.496896229,1361845.4986698132,4319815.001865875,2591889.0011195247,1727926.0007463498,4110550.607311818,4110550.607311818,0,2989491.3507722314,36750000.0,0.1406204081632653,0.12439836734693875,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,26401743.500908863,7358765.148318909
2043,5346399.999999999,5346399.999999999,0,543605.0,4802794.999999999,3531599.999999999,1319999.9999999998,2199999.9999999995,11600.0,12227458.35718529,7947847.932170438,4279610.425014852,4446284.063293192,3112398.8443052336,1333885.2189879576,4330558.168169791,2598334.900901874,1732223.2672679164,4120773.34341416,4120773.34341416,0,2996926.067937571,37000000.0,0.14449729729729727,0.12980527027027025,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,26657355.020791702,7345718.911270726
2044,5526800.0,5526800.0,0,490360.0,5036440.0,3637466.6666666665,1360000.0,2266666.6666666665,10800.0,12256619.134263359,7966802.437271183,4289816.696992176,4353554.127284184,3047487.8890989292,1306066.2381852553,4340885.94338494,2604531.566030964,1736354.377353976,4130600.8111794405,4130600.8111794405,0,3004073.3172214115,37250000.0,0.14837046979865773,0.13520644295302015,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,26913689.37024718,7332237.312531406
2045,5709000.0,5709000.0,0,436424.99999999994,5272575.0,3743333.333333333,1400000.0,2333333.333333333,10000.0,12284601.997912629,7984991.298643208,4299610.69926942,4261304.955022116,2982913.468515481,1278391.4865066353,4350796.54092739,2610477.9245564337,1740318.616370956,4140031.310571045,4140031.310571045,0,3010931.8622334874,37500000.0,0.15224,0.140602,HIGH_BOTTOM_UP,MEDIUM_BOTTOM_UP,LOW_ALLOCATED,LOW_RESIDUAL,LOW_ALLOCATED,LOW_ALLOCATED,LOW_RESIDUAL,27170747.3356195,7318320.80214701
